Queens / Broad Channel;-73.8118413026480 40.6031346650857,-73.8108536518665 40.6032237130143,-73.8105363675867 40.6024959888147,-73.8098633379123 40.6018957900068,-73.8100342593760 40.6016109084604,-73.8099125816660 40.6013202099327,-73.8100429323135 40.6009547105452,-73.8098506450239 40.6003656167585,-73.8100013294845 40.6000286828152,-73.8101441752303 40.6000548556422,-73.8099746531768 40.5998367028050,-73.8101889643459 40.5998604003660,-73.8102949385732 40.5996893896500,-73.8102901158607 40.5989916700723,-73.8109616972455 40.5985570308810,-73.8113871961233 40.5985032621372,-73.8115755034553 40.5981411992595,-73.8122207328776 40.5985539084777,-73.8132937302718 40.5998165927048,-73.8144473813623 40.6005431688536,-73.8150147156871 40.6020562905584,-73.8142869363265 40.6044556662205,-73.8133966528929 40.6043640722464,-73.8118413026480 40.6031346650857
Queens / Broad Channel;-73.8267953749715 40.6077204405931,-73.8262976301582 40.6078170722297,-73.8261736107582 40.6075541117833,-73.8263911781878 40.6073574336522,-73.8259821284240 40.6071579976004,-73.8259009272077 40.6064659306494,-73.8264961879578 40.6062244637177,-73.8269052458468 40.6064238979773,-73.8286167145766 40.6058384841375,-73.8286606009023 40.6062561583748,-73.8281508519122 40.6079502898330,-73.8271828210705 40.6079197780912,-73.8267953749715 40.6077204405931
Queens / Broad Channel;-73.8266105100879 40.6081962058417,-73.8277110423599 40.6083986681307,-73.8280507726006 40.6100462968653,-73.8268832648076 40.6095966780704,-73.8260747260455 40.6084377995461,-73.8266105100879 40.6081962058417
Queens / Broad Channel;-73.8345414410967 40.6054773837658,-73.8358760162304 40.6056369075455,-73.8344626562024 40.6071925329424,-73.8342834262001 40.6091856818530,-73.8337327597320 40.6092860330733,-73.8338031151559 40.6095505918580,-73.8325219234131 40.6103849936047,-73.8303294790603 40.6084878789114,-73.8304581539274 40.6066692014032,-73.8324420735842 40.6059294485316,-73.8345414410967 40.6054773837658
Queens / Broad Channel;-73.7935215264954 40.6063275913947,-73.7939975495259 40.6060801534626,-73.7950900231947 40.6072710591005,-73.7942479909917 40.6059003800328,-73.7969632779504 40.6041178487677,-73.8012001973382 40.6039122006533,-73.8018028511679 40.6042114314522,-73.8042853074454 40.6045192795317,-73.8052067651737 40.6067395380990,-73.8041969565642 40.6087441980315,-73.8015920674411 40.6102309625012,-73.7987819874604 40.6103332756902,-73.7963065421544 40.6093380325382,-73.7960945398168 40.6088264839426,-73.7955983273963 40.6087253563022,-73.7952997791447 40.6082298783185,-73.7942017268998 40.6077306756145,-73.7935215264954 40.6063275913947
Queens / Broad Channel;-73.7978384809131 40.6270134652973,-73.7974486361269 40.6271104762609,-73.7956625672609 40.6261140043277,-73.7992149342777 40.6240847129885,-73.7969834765043 40.6248646897447,-73.7940374175457 40.6256351959561,-73.7936292748134 40.6251564761949,-73.7980909310717 40.6230629482443,-73.7995108567374 40.6211755330210,-73.7999205769866 40.6185752401671,-73.8017249864017 40.6199670087317,-73.8009629230829 40.6177723693982,-73.8012804950409 40.6158798397475,-73.8027034386781 40.6135806523217,-73.8033982102715 40.6131721043496,-73.8050890601230 40.6134325604195,-73.8046696898681 40.6143018262956,-73.8047659268251 40.6158009913720,-73.8057530222228 40.6166948575383,-73.8056594506056 40.6176002553437,-73.8076411696207 40.6211996546933,-73.8072833132928 40.6216664356219,-73.8076891776316 40.6222776604236,-73.8069850231510 40.6238719988288,-73.8055714788845 40.6249690015738,-73.8051624884696 40.6246562241860,-73.8027134496362 40.6259347873469,-73.8025157794691 40.6263291376923,-73.8001117721162 40.6269274419882,-73.8009284149938 40.6275241038893,-73.7978353339852 40.6274087165715,-73.7978384809131 40.6270134652973
Queens / Broad Channel;-73.8135250212289 40.6273061726859,-73.8125855610409 40.6283719161848,-73.8112943227361 40.6247037790014,-73.8113558199587 40.6229375150407,-73.8118518129634 40.6220976183739,-73.8121004533430 40.6211005968149,-73.8117145041867 40.6207035737362,-73.8117192366180 40.6200942341405,-73.8115054253979 40.6197968099462,-73.8110945115788 40.6179102522818,-73.8102406650500 40.6164876406542,-73.8108999048162 40.6162184713409,-73.8120071783932 40.6171793714844,-73.8121134452434 40.6179255468355,-73.8128821391450 40.6189109196557,-73.8137035400029 40.6213867445861,-73.8144954330271 40.6223949443001,-73.8141827862560 40.6236946315591,-73.8151820322121 40.6247441711444,-73.8161270318486 40.6253489991807,-73.8167907350256 40.6263489181211,-73.8138328859632 40.6259262339965,-73.8138289949345 40.6261350766389,-73.8162702604399 40.6271458059171,-73.8172093566143 40.6291063511513,-73.8173057699361 40.6306219737989,-73.8163718120045 40.6313727272440,-73.8150678844146 40.6311640585780,-73.8139173322008 40.6307763912130,-73.8130723389262 40.6292610996427,-73.8135250212289 40.6273061726859
Queens / Broad Channel;-73.8227710543869 40.6355769140850,-73.8220986808379 40.6340723011466,-73.8218460425280 40.6320401884373,-73.8210750559956 40.6297337735621,-73.8199101406815 40.6278406531170,-73.8179641477360 40.6271055656957,-73.8180075229494 40.6264763438578,-73.8176979659327 40.6259616224962,-73.8161148342955 40.6246046551730,-73.8160864347080 40.6243154103093,-73.8167299805858 40.6238715140726,-73.8179528472068 40.6240932801174,-73.8189170803983 40.6230902671633,-73.8188938904746 40.6226291580326,-73.8182530369735 40.6220942385858,-73.8177863328810 40.6219377776347,-73.8177871831069 40.6216263317761,-73.8169700788683 40.6214915571021,-73.8169106505982 40.6218696470953,-73.8165307425958 40.6220025187479,-73.8157146804463 40.6214895515170,-73.8154317470428 40.6201165312422,-73.8171805387846 40.6192672744932,-73.8174442611127 40.6189117549065,-73.8174464513911 40.6181108959912,-73.8177742983451 40.6175011216956,-73.8175171788015 40.6163964116629,-73.8171684620304 40.6158431977233,-73.8171189362221 40.6152821923454,-73.8165268117854 40.6149470091549,-73.8165842891698 40.6146059176460,-73.8164315037957 40.6142823349300,-73.8147181262786 40.6144960885519,-73.8144403234523 40.6147490386707,-73.8140806243293 40.6145584092362,-73.8141644989770 40.6142910696408,-73.8146826267649 40.6139751578550,-73.8148672597213 40.6140106497528,-73.8148572228910 40.6142992262148,-73.8154952663758 40.6140398151332,-73.8147956325532 40.6131940299813,-73.8150363849463 40.6129762137494,-73.8152395656048 40.6129835792583,-73.8154694831719 40.6133429290084,-73.8161562663250 40.6129421155098,-73.8155985884528 40.6106725163306,-73.8154036625578 40.6103848020165,-73.8145026156671 40.6110584735054,-73.8144987682779 40.6107354536593,-73.8149683068825 40.6104206550169,-73.8152056759613 40.6098968947497,-73.8147707379248 40.6088510287802,-73.8147625763954 40.6084638800539,-73.8150612987873 40.6073170302799,-73.8157417406382 40.6064652452355,-73.8154606648335 40.6064281370074,-73.8155281665634 40.6061630699440,-73.8155253672366 40.6064073802820,-73.8159596200255 40.6062624833534,-73.8158882977846 40.6059290343592,-73.8164252998903 40.6052241235749,-73.8173919210651 40.6051581242868,-73.8172537059353 40.6039403241892,-73.8177203270464 40.6022249997420,-73.8183112112039 40.6013397117108,-73.8184906612075 40.5993895594792,-73.8192814220164 40.5975296108766,-73.8197359183157 40.5975168432691,-73.8204245070296 40.5964864163187,-73.8204460565903 40.5957484147799,-73.8207120677811 40.5951705149243,-73.8212013759921 40.5947799350895,-73.8213575828624 40.5946910092433,-73.8248025119253 40.5950831613529,-73.8258997473515 40.5948614572707,-73.8291362611771 40.5948068692965,-73.8304820596145 40.5945859382701,-73.8324120966499 40.5946184926211,-73.8346559951499 40.5951684586522,-73.8348468281318 40.5955434361069,-73.8342006805641 40.5966571241640,-73.8335174821236 40.5969830913484,-73.8333608772219 40.5972355113986,-73.8321509520543 40.5976795982920,-73.8323936445369 40.5978033533823,-73.8315410594015 40.5979510260550,-73.8306285217902 40.5974334257242,-73.8303892254821 40.5977340195853,-73.8294834182325 40.5981339419026,-73.8290977742234 40.5977634552206,-73.8280615967543 40.5976804026488,-73.8278469150543 40.5979998377609,-73.8272209299864 40.5983311940680,-73.8271031455906 40.5986886855097,-73.8268952725801 40.5987052518076,-73.8259798598989 40.5994720669887,-73.8258485476457 40.5994402395789,-73.8259062953111 40.5991099578955,-73.8255679074043 40.5985481478538,-73.8250761083452 40.5982146435893,-73.8246542066326 40.5981492467038,-73.8243173370718 40.5983131049749,-73.8239587105830 40.5988768966772,-73.8245227127641 40.5989512639905,-73.8247708905842 40.5983918438751,-73.8245262485855 40.5991290272233,-73.8243900431506 40.5990981130264,-73.8245173365546 40.5989658087330,-73.8240779135502 40.5989092038330,-73.8242187044329 40.5990744879194,-73.8241656988867 40.5992993796671,-73.8237661234718 40.6000400708219,-73.8231174097478 40.6000794925253,-73.8230319516688 40.5999305168843,-73.8229275781121 40.6000614281630,-73.8230043655078 40.5999256193973,-73.8219444175979 40.5998011559784,-73.8214692983383 40.5999937222677,-73.8223436228187 40.6002256614077,-73.8244364382841 40.6003449833506,-73.8244521807489 40.6007969626895,-73.8239890012425 40.6010019866244,-73.8235113029426 40.6015457711607,-73.8235779982649 40.6022718957515,-73.8230490635776 40.6023449161557,-73.8229448474048 40.6025829094678,-73.8227656347791 40.6042026045665,-73.8229028300363 40.6046872685414,-73.8224674676842 40.6055249828237,-73.8229046337779 40.6058512764244,-73.8223600087623 40.6064692606601,-73.8221137784628 40.6064719561712,-73.8212647034285 40.6070028504105,-73.8209045612608 40.6077812462182,-73.8200324349777 40.6089236557572,-73.8199822794736 40.6095603857079,-73.8196179536215 40.6104790410643,-73.8205188794308 40.6119499487255,-73.8204340361523 40.6120667865035,-73.8208784179014 40.6122573458201,-73.8212842105303 40.6110969282809,-73.8210622853335 40.6107638483708,-73.8206269815226 40.6105299952160,-73.8204870062156 40.6102243792935,-73.8208587850587 40.6092310582712,-73.8211463701849 40.6090624110703,-73.8213826812563 40.6085455449468,-73.8216146008913 40.6084803192277,-73.8218253133993 40.6089639971859,-73.8216679783900 40.6092323166074,-73.8218620524149 40.6098692120659,-73.8223307984713 40.6102877032557,-73.8228923334858 40.6103370221940,-73.8233465421361 40.6111546389199,-73.8238246859532 40.6114986649102,-73.8242435604941 40.6125087765813,-73.8243870288316 40.6125487827213,-73.8244482123992 40.6123411266579,-73.8246745163795 40.6124199141226,-73.8246858441347 40.6130764187576,-73.8252068402721 40.6134949771969,-73.8255575893193 40.6141321047097,-73.8259360337331 40.6141625182093,-73.8263539086597 40.6137861570236,-73.8272563656706 40.6133787141235,-73.8275819290486 40.6136676592836,-73.8278752547179 40.6136976285984,-73.8272415372700 40.6140650205719,-73.8275022260954 40.6142046667202,-73.8284550318250 40.6142160391516,-73.8309199600142 40.6150054870334,-73.8320297090677 40.6148976993580,-73.8340188820032 40.6143811669232,-73.8334223080996 40.6267819834621,-73.8330410090776 40.6282612710605,-73.8328652873168 40.6284083502625,-73.8328954895677 40.6289034787329,-73.8323603667123 40.6291422577472,-73.8319608076814 40.6296527298793,-73.8318966639819 40.6305723940521,-73.8311408638928 40.6327493952884,-73.8313311286414 40.6336176914276,-73.8319387840672 40.6342362254275,-73.8319578778669 40.6349788805658,-73.8324909443571 40.6355785518355,-73.8334060797922 40.6385013558990,-73.8328997436120 40.6388626850668,-73.8322165881918 40.6389284902208,-73.8286678210974 40.6366147184480,-73.8280856735328 40.6358797268366,-73.8259165796320 40.6357474128200,-73.8250509829060 40.6359052604437,-73.8244303256329 40.6362165200365,-73.8241357769007 40.6387879967045,-73.8245737989033 40.6393538732392,-73.8241932729316 40.6399532744877,-73.8233759726066 40.6389870471767,-73.8227710543869 40.6355769140850
Brooklyn / Bensonhurst;-73.9884230000000 40.6071190000000,-73.9938110000000 40.6019500000000,-74.0117120000000 40.6127350000000,-73.9993210000000 40.6246560000000,-73.9729940000000 40.6088140000000,-73.9884230000000 40.6071190000000
Bronx / Hart Island;-73.7685566032705 40.8532383229594,-73.7690443898713 40.8532909246936,-73.7693852913970 40.8525361339968,-73.7686081768710 40.8507883953781,-73.7695967437765 40.8475945190995,-73.7695032162894 40.8472178342365,-73.7678949267300 40.8452894325145,-73.7690138918112 40.8450973427218,-73.7711837801058 40.8469445133121,-73.7715721876706 40.8475000585790,-73.7708892028736 40.8497517713393,-73.7720496366845 40.8516182897574,-73.7727111749614 40.8518265809337,-73.7724659412667 40.8518336839997,-73.7724605222925 40.8520595421723,-73.7729635661129 40.8521592539586,-73.7726483774692 40.8522244026295,-73.7728907566511 40.8523982689969,-73.7724594016302 40.8521062670821,-73.7724514948167 40.8524358968948,-73.7717306047810 40.8524768313204,-73.7717171593654 40.8530045392818,-73.7722968053138 40.8530863782524,-73.7723491752136 40.8538514197328,-73.7729628540106 40.8538000622477,-73.7729581751704 40.8541374329234,-73.7727959778814 40.8541317587031,-73.7726944802606 40.8539066390133,-73.7723327221974 40.8539008446752,-73.7721403684182 40.8544127126006,-73.7721815299134 40.8588683467848,-73.7723543271065 40.8596731619805,-73.7721922305542 40.8599866385969,-73.7708456236057 40.8601010128567,-73.7694730542401 40.8593301366686,-73.7683627722460 40.8583582888505,-73.7683608598535 40.8576553627021,-73.7653324399529 40.8550435951249,-73.7678320563717 40.8544422057420,-73.7685566032705 40.8532383229594
